title,author,pdf_url
10133 Veidaantakaustubhaakhyooyan'grandha,Not Available,http://www.dli.ernet.in/bitstream/handle/2015/332909/10133-Veidaantakaustubhaakhyooyangrandha.pdf?sequence=1&isAllowed=y
10132 Durvaadigajaan'kushan'bani,Not Available,http://www.dli.ernet.in/bitstream/handle/2015/332910/10132-Durvaadigajaankushanbani.pdf?sequence=1&isAllowed=y
10129 Suuryanamaskaaradarpand-amu,Not Available,http://www.dli.ernet.in/bitstream/handle/2015/332912/10129-Suuryanamaskaaradarpand-amu.pdf?sequence=1&isAllowed=y
10131 Bhagavataadya Skan'daadhyapadya,Not Available,http://www.dli.ernet.in/bitstream/handle/2015/332911/10131-Bhagavataadya.pdf?sequence=1&isAllowed=y
10147 Uttama Brahmavidyaasaaran',Not Available,http://www.dli.ernet.in/bitstream/handle/2015/332893/10147-Uttama.pdf?sequence=1&isAllowed=y
10149 Brahmavidyaadarpand-amu,Not Available,http://www.dli.ernet.in/bitstream/handle/2015/332891/10149-Brahmavidyaadarpand-amu.pdf?sequence=1&isAllowed=y
10151 Svarga Maata Anukan'daarduvulu,Not Available,http://www.dli.ernet.in/bitstream/handle/2015/332890/10151-Svarga.pdf?sequence=1&isAllowed=y
10144 Brahmasuutra Saaramu,Not Available,http://www.dli.ernet.in/bitstream/handle/2015/332896/10144-Brahmasuutra.pdf?sequence=1&isAllowed=y
10142 Saptamaskan'damu,Not Available,http://www.dli.ernet.in/bitstream/handle/2015/332898/10142-Saptamaskandamu.pdf?sequence=1&isAllowed=y
10140 Brahmanan'da Chan'drika,Not Available,http://www.dli.ernet.in/bitstream/handle/2015/332900/10140-Brahmananda.pdf?sequence=1&isAllowed=y
10141 Shriiraamaayand-a San'grahutpalamu,Not Available,http://www.dli.ernet.in/bitstream/handle/2015/332899/10141-Shriiraamaayand-a.pdf?sequence=1&isAllowed=y
10164 Niitishaastramu,Not Available,http://www.dli.ernet.in/bitstream/handle/2015/332879/10164-Niitishaastramu.pdf?sequence=1&isAllowed=y
10146 Shrii Madadvaitarahasyamu,Not Available,http://www.dli.ernet.in/bitstream/handle/2015/332894/10146-Shrii.pdf?sequence=1&isAllowed=y
10139 Jiivabrahmaikya Raajayooga Saaraamrxtamu,Not Available,http://www.dli.ernet.in/bitstream/handle/2015/332901/10139-Jiivabrahmaikya.pdf?sequence=1&isAllowed=y
10163 Bhagavadgiitaardaman'jari,Not Available,http://www.dli.ernet.in/bitstream/handle/2015/332880/10163-Bhagavadgiitaardamanjari.pdf?sequence=1&isAllowed=y
10162 Shrii Gand-anaadhaabhyudayamu,Not Available,http://www.dli.ernet.in/bitstream/handle/2015/332882/10162-Shrii.pdf?sequence=1&isAllowed=y
10161 Bhagavadavataarastuti,Not Available,http://www.dli.ernet.in/bitstream/handle/2015/332883/10161-Bhagavadavataarastuti.pdf?sequence=1&isAllowed=y
10143 Bhadraayurabhyudayamu,Not Available,http://www.dli.ernet.in/bitstream/handle/2015/332897/10143-Bhadraayurabhyudayamu.pdf?sequence=1&isAllowed=y
10157 Shrii Adhyaatmaraamaayand-akiirtanalu,Not Available,http://www.dli.ernet.in/bitstream/handle/2015/332886/10157-Shrii.pdf?sequence=1&isAllowed=y
10160 Smaartakaarikaavrxtti,Not Available,http://www.dli.ernet.in/bitstream/handle/2015/332884/10160-Smaartakaarikaavrxtti.pdf?sequence=1&isAllowed=y
10159 Jayaarda Prakaashikaa,Not Available,http://www.dli.ernet.in/bitstream/handle/2015/332885/10159-Jayaarda.pdf?sequence=1&isAllowed=y
10155 Aan'janeiya Khad'gamu,Not Available,http://www.dli.ernet.in/bitstream/handle/2015/332887/10155-Aanjaneiya.pdf?sequence=1&isAllowed=y
10153 Ayan'bramabhan'janiinaamakoo Gradha,Not Available,http://www.dli.ernet.in/bitstream/handle/2015/332888/10153-Ayanbramabhanjaniinaamakoo.pdf?sequence=1&isAllowed=y
10152 Brahmajnj-aanadiipika,Not Available,http://www.dli.ernet.in/bitstream/handle/2015/332889/10152-Brahmajnj-aanadiipika.pdf?sequence=1&isAllowed=y
10178 Karma San'grahamu,Not Available,http://www.dli.ernet.in/bitstream/handle/2015/371286/10178-Karma.pdf?sequence=1&isAllowed=y
10177 Tarka San'grahamu,Not Available,http://www.dli.ernet.in/bitstream/handle/2015/371287/10177-Tarka.pdf?sequence=1&isAllowed=y
10174 Punajnj-aanapradiipika,Not Available,http://www.dli.ernet.in/bitstream/handle/2015/332871/10174-Punajnj-aanapradiipika.pdf?sequence=1&isAllowed=y
10171 Chin'taamand-ii Darpand-amu,Not Available,http://www.dli.ernet.in/bitstream/handle/2015/332872/10171-Chintaamand-ii.pdf?sequence=1&isAllowed=y
10168 Trikaala San'dyaavan'danamu,Not Available,http://www.dli.ernet.in/bitstream/handle/2015/332875/10168-Trikaala.pdf?sequence=1&isAllowed=y
10169 Purushhaardaprakaashamu,Not Available,http://www.dli.ernet.in/bitstream/handle/2015/332874/10169-Purushhaardaprakaashamu.pdf?sequence=1&isAllowed=y
10167 Chaduvuraani Vaad'ikan't'ei Chaakalimeilu,Not Available,http://www.dli.ernet.in/bitstream/handle/2015/332876/10167-Chaduvuraani.pdf?sequence=1&isAllowed=y
10188 Shan'karan'bhaasan'vaadamu,Not Available,http://www.dli.ernet.in/bitstream/handle/2015/332866/10188-Shankaranbhaasanvaadamu.pdf?sequence=1&isAllowed=y
10179 Vidyaasan'grahamu,Not Available,http://www.dli.ernet.in/bitstream/handle/2015/332212/10179-Vidyaasangrahamu.pdf?sequence=1&isAllowed=y
10187 Kaashiiprabhavamu,Not Available,http://www.dli.ernet.in/bitstream/handle/2015/332867/10187-Kaashiiprabhavamu.pdf?sequence=1&isAllowed=y
10186 Kaivalyanavaniitasaarasan'grahamu,Not Available,http://www.dli.ernet.in/bitstream/handle/2015/332868/10186-Kaivalyanavaniitasaarasangrahamu.pdf?sequence=1&isAllowed=y
10165 Ghat'aspoot'anashraaddha Prayoogamu,Not Available,http://www.dli.ernet.in/bitstream/handle/2015/332878/10165-Ghataspootanashraaddha.pdf?sequence=1&isAllowed=y
10185 Pashyashabdavichaaramu,Not Available,http://www.dli.ernet.in/bitstream/handle/2015/332869/10185-Pashyashabdavichaaramu.pdf?sequence=1&isAllowed=y
10184 Prashnoottara Ratnamaala,Not Available,http://www.dli.ernet.in/bitstream/handle/2015/332207/10184-Prashnoottara.pdf?sequence=1&isAllowed=y
10180 Aaryaasaptashati,Not Available,http://www.dli.ernet.in/bitstream/handle/2015/332211/10180-Aaryaasaptashati.pdf?sequence=1&isAllowed=y
10189 Sanaatanadharmasan'hitaakhyooyan',Not Available,http://www.dli.ernet.in/bitstream/handle/2015/332865/10189-Sanaatanadharmasanhitaakhyooyan.pdf?sequence=1&isAllowed=y
10199 Bhaktapaapaharaprabhoodhini,Not Available,http://www.dli.ernet.in/bitstream/handle/2015/332855/10199-Bhaktapaapaharaprabhoodhini.pdf?sequence=1&isAllowed=y
10183 Krishhnd-a Siddaan'tamu,Not Available,http://www.dli.ernet.in/bitstream/handle/2015/332208/10183-Krishhnd-a.pdf?sequence=1&isAllowed=y
10181 Maanavadharmapradiipika,Not Available,http://www.dli.ernet.in/bitstream/handle/2015/332210/10181-Maanavadharmapradiipika.pdf?sequence=1&isAllowed=y
10198 Paapaaqs-ayapaapanivrxttulu Sadgund-aabhyaasamu,Not Available,http://www.dli.ernet.in/bitstream/handle/2015/332856/10198-Paapaaqs-ayapaapanivrxttulu.pdf?sequence=1&isAllowed=y
10197 Vaikun't'astuti,Not Available,http://www.dli.ernet.in/bitstream/handle/2015/332857/10197-Vaikuntastuti.pdf?sequence=1&isAllowed=y
10196 Saajnj-aaparind-yamu,Not Available,http://www.dli.ernet.in/bitstream/handle/2015/332858/10196-Saajnj-aaparind-yamu.pdf?sequence=1&isAllowed=y
10195 Shrutiratnadiipamu,Not Available,http://www.dli.ernet.in/bitstream/handle/2015/332860/10195-Shrutiratnadiipamu.pdf?sequence=1&isAllowed=y
10194 Oppad'u,Not Available,http://www.dli.ernet.in/bitstream/handle/2015/332861/10194-Oppadu.pdf?sequence=1&isAllowed=y
10193 Vaikhaanavadharmachan'drika,Not Available,http://www.dli.ernet.in/bitstream/handle/2015/332862/10193-Vaikhaanavadharmachandrika.pdf?sequence=1&isAllowed=y
10191 Aashiirvachanamaantradarpand-amu,Not Available,http://www.dli.ernet.in/bitstream/handle/2015/332863/10191-Aashiirvachanamaantradarpand-amu.pdf?sequence=1&isAllowed=y
10170 Tyaagaraajayoogavaibhavamu,Not Available,http://www.dli.ernet.in/bitstream/handle/2015/332873/10170-Tyaagaraajayoogavaibhavamu.pdf?sequence=1&isAllowed=y
10190 Shriibrahmasuutrataatparyadiipikaa Shrii Taittiriiyakavalliitaatparyadiipikaa,Not Available,http://www.dli.ernet.in/bitstream/handle/2015/332864/10190-Shriibrahmasuutrataatparyadiipikaa.pdf?sequence=1&isAllowed=y
10182 Shriinuutanasubrahmand-yeishvara Charitramu,Not Available,http://www.dli.ernet.in/bitstream/handle/2015/332209/10182-Shriinuutanasubrahmand-yeishvara.pdf?sequence=1&isAllowed=y
